,Date,AQI,Sample_Duration,Pollutant_Type
229,1987-06-14,23,24 HOUR,81102
230,1987-06-20,9,24 HOUR,81102
231,1987-06-26,22,24 HOUR,81102
232,1987-07-02,9,24 HOUR,81102
233,1987-07-08,11,24 HOUR,81102
234,1987-07-14,15,24 HOUR,81102
235,1987-07-20,22,24 HOUR,81102
236,1987-07-26,19,24 HOUR,81102
237,1987-08-01,19,24 HOUR,81102
238,1987-08-07,31,24 HOUR,81102
239,1987-08-19,19,24 HOUR,81102
240,1987-08-25,7,24 HOUR,81102
241,1987-08-31,19,24 HOUR,81102
242,1987-09-06,36,24 HOUR,81102
243,1987-09-12,11,24 HOUR,81102
244,1987-09-18,8,24 HOUR,81102
245,1987-09-24,21,24 HOUR,81102
246,1987-09-30,21,24 HOUR,81102
247,1987-11-11,22,24 HOUR,81102
248,1987-11-17,8,24 HOUR,81102
249,1987-11-23,8,24 HOUR,81102
250,1987-11-29,7,24 HOUR,81102
251,1987-12-05,21,24 HOUR,81102
252,1988-01-10,13,24 HOUR,81102
253,1988-01-16,3,24 HOUR,81102
254,1988-01-22,8,24 HOUR,81102
255,1988-01-28,9,24 HOUR,81102
256,1988-02-03,21,24 HOUR,81102
257,1988-02-09,11,24 HOUR,81102
258,1988-02-15,6,24 HOUR,81102
259,1988-02-21,7,24 HOUR,81102
260,1988-02-27,18,24 HOUR,81102
261,1988-03-04,13,24 HOUR,81102
262,1988-03-10,6,24 HOUR,81102
263,1988-03-16,19,24 HOUR,81102
264,1988-03-22,9,24 HOUR,81102
265,1988-03-28,52,24 HOUR,81102
266,1988-04-03,16,24 HOUR,81102
267,1988-04-09,20,24 HOUR,81102
268,1988-04-15,17,24 HOUR,81102
269,1988-04-21,20,24 HOUR,81102
270,1988-04-27,28,24 HOUR,81102
271,1988-05-03,4,24 HOUR,81102
272,1988-05-09,19,24 HOUR,81102
273,1988-05-27,22,24 HOUR,81102
274,1988-06-02,28,24 HOUR,81102
275,1988-06-08,51,24 HOUR,81102
276,1988-06-14,6,24 HOUR,81102
277,1988-06-20,26,24 HOUR,81102
278,1988-07-08,17,24 HOUR,81102
279,1988-07-14,21,24 HOUR,81102
280,1988-07-20,14,24 HOUR,81102
281,1988-07-26,23,24 HOUR,81102
282,1988-08-01,22,24 HOUR,81102
283,1988-08-25,16,24 HOUR,81102
284,1988-08-31,25,24 HOUR,81102
285,1988-09-06,17,24 HOUR,81102
286,1988-09-12,6,24 HOUR,81102
287,1988-09-18,4,24 HOUR,81102
288,1988-09-24,12,24 HOUR,81102
289,1988-09-30,11,24 HOUR,81102
290,1988-10-18,9,24 HOUR,81102
291,1988-10-24,32,24 HOUR,81102
292,1988-10-30,11,24 HOUR,81102
293,1988-11-05,7,24 HOUR,81102
294,1988-11-11,10,24 HOUR,81102
295,1988-11-17,9,24 HOUR,81102
296,1988-11-23,6,24 HOUR,81102
297,1989-01-10,15,24 HOUR,81102
298,1989-01-16,7,24 HOUR,81102
299,1989-01-22,6,24 HOUR,81102
300,1989-01-28,3,24 HOUR,81102
301,1989-02-03,12,24 HOUR,81102
302,1989-02-09,7,24 HOUR,81102
303,1989-02-15,10,24 HOUR,81102
304,1989-02-21,11,24 HOUR,81102
305,1989-02-27,9,24 HOUR,81102
306,1989-03-29,7,24 HOUR,81102
307,1989-04-04,15,24 HOUR,81102
308,1989-04-10,10,24 HOUR,81102
309,1989-04-16,17,24 HOUR,81102
